ABC000,ABC001,ABC002,ABC003,ABC004,ABC005,ABC006,ABC007,ABC008,ABC009,ABC010
6,67,2020-08-19 20:08:22,ABCDEF,"A0001",0.1337664025653641,"00060006",file_006_007.txt,B0010,8,0006000a
7,78,2020-08-19 20:08:23,ABCDEF,"A0001",0.712467879777849,"00070006",file_007_007.txt,B0010,16,0007000a
8,89,2020-08-19 20:08:24,ABCDEF,"B0010",0.4968975861244229,"00080006",file_008_007.txt,A0001,8,0008000a
9,100,2020-08-19 20:08:25,ABCDEF,"B0010",0.9868825742456164,"00090006",file_009_007.txt,A0001,17,0009000a
10,111,2020-08-19 20:08:26,ABCDEF,"A0001",0.8535390915690498,"000a0006",file_010_007.txt,A0001,18,000a000a
11,122,2020-08-19 20:08:27,ABCDEF,"A0001",0.2943101565052175,"000b0006",file_011_007.txt,A0001,6,000b000a
12,133,2020-08-19 20:08:28,ABCDEF,"A0001",0.4166433359537698,"000c0006",file_012_007.txt,B0010,18,000c000a
13,144,2020-08-19 20:08:29,ABCDEF,"A0001",0.09219205238567507,"000d0006",file_013_007.txt,A0001,1,000d000a
14,155,2020-08-19 20:08:30,ABCDEF,"A0001",0.5514429781977839,"000e0006",file_014_007.txt,A0001,16,000e000a
15,166,2020-08-19 20:08:31,ABCDEF,"A0001",0.7944812456458786,"000f0006",file_015_007.txt,A0001,17,000f000a
16,177,2020-08-19 20:08:32,ABCDEF,"A0001",0.48244531642052524,"00100006",file_016_007.txt,A0001,15,0010000a
17,188,2020-08-19 20:08:33,ABCDEF,"B0010",0.47790541255909536,"00110006",file_017_007.txt,A0001,6,0011000a
18,199,2020-08-19 20:08:34,ABCDEF,"A0001",0.6054181377779131,"00120006",file_018_007.txt,B0010,9,0012000a
1,12,2020-08-19 20:08:17,ABCDEF,"A0001",0.35936454135720597,"00010006",file_001_007.txt,A0001,1,0001000a
2,23,2020-08-19 20:08:18,ABCDEF,"B0010",0.8328145596610534,"00020006",file_002_007.txt,B0010,8,0002000a
3,34,2020-08-19 20:08:19,ABCDEF,"A0001",0.002799978850508311,"00030006",file_003_007.txt,A0001,11,0003000a
4,45,2020-08-19 20:08:20,ABCDEF,"B0010",0.3878806493858409,"00040006",file_004_007.txt,A0001,18,0004000a
5,56,2020-08-19 20:08:21,ABCDEF,"B0010",0.1346470156244719,"00050006",file_005_007.txt,A0001,17,0005000a
0,1,2020-08-19 20:08:16,ABCDEF,"A0001",0.521903582415458,"00000006",file_000_007.txt,A0001,6,0000000a
